"domain","records","canonicalRecordId","duplicateRecordIds"
"offgridwater.org","1","grimm-source-284",""
"offshore-mag.com","1","grimm-source-245",""
"offshore-technology.com","1","grimm-source-259",""
"offshorefire.org","1","grimm-source-296",""
"ogj.com","1","grimm-source-244",""
"ohsonline.com","1","grimm-source-241",""
"oilgasfire.org","1","grimm-source-278",""
"petrochem.org","1","grimm-source-283",""
"petroleum-economist.com","1","grimm-source-253",""
"pgj.pipeline-gassolutions.com","1","grimm-source-218",""
"phcppros.com","1","grimm-source-163",""
"pipelinesafety.org","1","grimm-source-295",""
"piping-designer.com","1","grimm-source-099",""
"plantengineering.com","1","grimm-source-089",""
"plantengineeringtech.org","1","grimm-source-291",""
"plantservices.com","1","grimm-source-120",""
"plumbingengineer.com","1","grimm-source-139",""
"plumbingsystems.org","1","grimm-source-150",""
"pmengineer.com","1","grimm-source-124",""
"pmmag.com","1","grimm-source-140",""
"portsafety.org","1","grimm-source-273",""
"power-eng.com","1","grimm-source-256",""
"powermag.com","1","grimm-source-257",""
"powerplanttech.org","1","grimm-source-282",""
"powertransmission.com","1","grimm-source-116",""
"powerwater.org","1","grimm-source-232",""
"pressuremanagement.org","1","grimm-source-223",""
"process-heating.com","1","grimm-source-073",""
"processingmagazine.com","1","grimm-source-075",""
"processwater.org","1","grimm-source-234",""
"property-mep.com","1","grimm-source-167",""
"pumpfundamentals.com","1","grimm-source-081",""
"pumpindustry.com.au","1","grimm-source-066",""
"pumpmaintenance.org","1","grimm-source-110",""
"pumps-engineer.com","1","grimm-source-071",""
"pumps.org","1","grimm-source-084",""
"pumpsandsystems.com","1","grimm-source-061",""
"pumpschool.com","1","grimm-source-070",""
"pumpstations.org","1","grimm-source-209",""
"pumpsystemoptimization.org","1","grimm-source-100",""
"pumpsystemsmatter.org","1","grimm-source-093",""
"pumpworks.com","1","grimm-source-064",""
"purewatertech.org","1","grimm-source-235",""
"pveng.com","1","grimm-source-107",""
"readyforwildfire.org","1","grimm-source-035",""
"reevesmep.com","1","grimm-source-141",""
"refinerysafety.org","1","grimm-source-269",""
"reliabilityweb.com","1","grimm-source-119",""
"reliefequipment.org","1","grimm-source-285",""
"remotesitesafety.org","1","grimm-source-290",""
"safetyandhealthmagazine.com","1","grimm-source-242",""
"sciencedirect.com","1","grimm-source-011",""
"sealingtech.org","1","grimm-source-098",""
"sfpe.org","2","grimm-source-002","grimm-source-037"
"shfsa.org","1","grimm-source-051",""
"smartbuildingsmagazine.com","1","grimm-source-147",""
"smartfiresafety.org","1","grimm-source-180",""
"smartwatermagazine.com","1","grimm-source-187",""
"springer.com","1","grimm-source-012",""
"sprinklerage.com","1","grimm-source-044",""
"sprinklernews.com","1","grimm-source-053",""
"submersiblepumps.org","1","grimm-source-086",""
"subsurfacewater.org","1","grimm-source-210",""
"supplyht.com","1","grimm-source-162",""
"thefpa.co.uk","1","grimm-source-020",""
"thewaternetwork.com","1","grimm-source-225",""
"totalsafety.com","1","grimm-source-056",""
"trenchlesstechnology.com","1","grimm-source-219",""
"turbinesafety.org","1","grimm-source-293",""
"ul.com","1","grimm-source-033",""
"undergroundinfrastructure.com","1","grimm-source-220",""
"urbanconstruction.org","1","grimm-source-171",""
"urbaninfrastructure.org","1","grimm-source-154",""
"urbanwater.org","1","grimm-source-206",""
"usgbc.org","1","grimm-source-146",""
"valve-world-americas.net","1","grimm-source-078",""
"valve-world.net","1","grimm-source-077",""
"valvemagazine.com","1","grimm-source-067",""
"vfdpumps.com","1","grimm-source-097",""
"warehousefire.org","1","grimm-source-280",""
"waterassetmanagement.com","1","grimm-source-239",""
"waterengineer.org","1","grimm-source-207",""
"waterfiltration.org","1","grimm-source-226",""
"waterinfrastructure.org","1","grimm-source-203",""
"waterjetting.org","1","grimm-source-201",""
"waterlosscontrol.org","1","grimm-source-227",""
"wateronline.com","1","grimm-source-193",""
"waterpipes.org","1","grimm-source-205",""
"waterpumping.org","1","grimm-source-113",""
"waterreliability.org","1","grimm-source-240",""
"waterresources.org","1","grimm-source-199",""
"waterstorage.org","1","grimm-source-221",""
"watersystemsengineering.com","1","grimm-source-197",""
"watertechonline.com","1","grimm-source-183",""
"waterwastewaterasia.com","1","grimm-source-189",""
"waterwelljournal.com","1","grimm-source-195",""
"waterworld.com","2","grimm-source-182","grimm-source-188"
"wef.org","1","grimm-source-184",""
"worldoil.com","1","grimm-source-247",""
"worldpumps.com","1","grimm-source-063",""
"worldwater.org","1","grimm-source-213",""
"wqpmag.com","1","grimm-source-212",""
"wwdmag.com","1","grimm-source-181",""
